city,hotel_type,budget_type,cost_per_night
Chennai,Budget Hotel,Low,950
Chennai,3-Star Hotel,Medium,3200
Chennai,5-Star Hotel,High,8500
Coimbatore,Budget Hotel,Low,800
Coimbatore,3-Star Hotel,Medium,2800
Coimbatore,5-Star Hotel,High,6500
Bengaluru,Budget Hotel,Low,1100
Bengaluru,3-Star Hotel,Medium,4500
Bengaluru,5-Star Hotel,High,11000
Hyderabad,Budget Hotel,Low,1000
Hyderabad,3-Star Hotel,Medium,3800
Hyderabad,5-Star Hotel,High,9500
Delhi,Budget Hotel,Low,1200
Delhi,3-Star Hotel,Medium,4200
Delhi,5-Star Hotel,High,13500
Mumbai,Budget Hotel,Low,1800
Mumbai,3-Star Hotel,Medium,6500
Mumbai,5-Star Hotel,High,18000
Pune,Budget Hotel,Low,1100
Pune,3-Star Hotel,Medium,3500
Pune,5-Star Hotel,High,8500
Kolkata,Budget Hotel,Low,900
Kolkata,3-Star Hotel,Medium,3600
Kolkata,5-Star Hotel,High,9000
Bhopal,Budget Hotel,Low,750
Bhopal,3-Star Hotel,Medium,2500
Bhopal,5-Star Hotel,High,6000
